DATE,EXCHUS
01/04/2012,6.3043
01/05/2012,6.3242
01/06/2012,6.3633
01/07/2012,6.3717
01/08/2012,6.3593
01/09/2012,6.32
01/10/2012,6.2627
01/11/2012,6.2338
01/12/2012,6.2328
01/01/2013,6.2215
01/02/2013,6.2323
01/03/2013,6.2154
01/04/2013,6.1861
01/05/2013,6.1416
01/06/2013,6.1342
01/07/2013,6.1343
01/08/2013,6.1213
01/09/2013,6.1198
01/10/2013,6.1032
01/11/2013,6.0929
01/12/2013,6.0738
01/01/2014,6.0509
01/02/2014,6.0816
01/03/2014,6.1729
01/04/2014,6.2246
01/05/2014,6.238
01/06/2014,6.2306
01/07/2014,6.1984
01/08/2014,6.1541
01/09/2014,6.1382
01/10/2014,6.1251
01/11/2014,6.1249
01/12/2014,6.1886
01/01/2015,6.2181
01/02/2015,6.2518
01/03/2015,6.2386
01/04/2015,6.201
01/05/2015,6.2035
01/06/2015,6.2052
01/07/2015,6.2085
01/08/2015,6.3383
01/09/2015,6.3676
01/10/2015,6.3505
01/11/2015,6.364
01/12/2015,6.4491
01/01/2016,6.5726
01/02/2016,6.5501
01/03/2016,6.5027
01/04/2016,6.4754
01/05/2016,6.5259
01/06/2016,6.5892
01/07/2016,6.6771
01/08/2016,6.6466
01/09/2016,6.6702
01/10/2016,6.7303
01/11/2016,6.8402
01/12/2016,6.9198
01/01/2017,6.8907
01/02/2017,6.8694
01/03/2017,6.894
01/04/2017,6.8876
01/05/2017,6.8843
01/06/2017,6.8066
01/07/2017,6.7694
01/08/2017,6.667
01/09/2017,6.569
01/10/2017,6.6254
01/11/2017,6.62
01/12/2017,6.5932
01/01/2018,6.4233
01/02/2018,6.3183
01/03/2018,6.3174
01/04/2018,6.2967
01/05/2018,6.3701
01/06/2018,6.4651
01/07/2018,6.7164
01/08/2018,6.8453
01/09/2018,6.8551
01/10/2018,6.9191
01/11/2018,6.9367
01/12/2018,6.8837
01/01/2019,6.7863
01/02/2019,6.7367
01/03/2019,6.7119
01/04/2019,6.7161
01/05/2019,6.8519
01/06/2019,6.8977
01/07/2019,6.8775
01/08/2019,7.0629
01/09/2019,7.1137
01/10/2019,7.0961
01/11/2019,7.0199
01/12/2019,7.0137
01/01/2020,6.9184
01/02/2020,6.9967
01/03/2020,7.0205
